x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0.8207555,0.25793466,0.8245702,0.24768831,0.81689644,0.24870975,0.8305978,0.25414717,0.8115105,0.25750577,0.8401079,0.31252226,0.8056823,0.32041675,0.8533201,0.3785199,0.7987268,0.39307097,0.85383445,0.4425089,0.79531676,0.45874324,0.83787674,0.45486212,0.815656,0.4585833,0.842676,0.5595086,0.81762785,0.5617819,0.8459774,0.6473957,0.8211765,0.64946735
0.82046956,0.25800502,0.82393026,0.24745634,0.81657267,0.24939126,0.8300415,0.2524837,0.8114501,0.25777933,0.84034246,0.3111622,0.8062857,0.3203262,0.8522091,0.37910113,0.79930943,0.3937572,0.85267526,0.4441815,0.79469943,0.45416206,0.83910954,0.45515698,0.8175376,0.4593342,0.8427534,0.5572045,0.819321,0.56013584,0.8439771,0.6505867,0.82314473,0.65347576
0.820442,0.25867698,0.8241644,0.2483953,0.8166196,0.249608,0.8300689,0.2544826,0.8114263,0.25828004,0.8398539,0.31252834,0.80541974,0.3206105,0.8528277,0.37735823,0.7973323,0.39114156,0.85334104,0.44082892,0.79371995,0.4555335,0.8375373,0.45292374,0.81571954,0.45674625,0.84110785,0.5552081,0.8189458,0.5576137,0.8416014,0.6454928,0.8223258,0.64776343
0.8205059,0.25894585,0.8241784,0.2486402,0.81664085,0.24990454,0.829966,0.25445494,0.8113718,0.2584031,0.8398027,0.3123691,0.80545133,0.3202129,0.852708,0.37745294,0.79727143,0.38963363,0.8530391,0.44138956,0.792761,0.45234844,0.8370406,0.45254794,0.81536835,0.45618418,0.84025776,0.55454296,0.8187707,0.5568614,0.83988565,0.6442081,0.8216178,0.6464677
0.82089823,0.2594075,0.82458514,0.24908087,0.81698793,0.25037494,0.830344,0.25498852,0.8116275,0.2589708,0.84002733,0.3130943,0.80556977,0.320565,0.8524842,0.3781249,0.7964268,0.38840976,0.85283774,0.4411271,0.7912651,0.44874224,0.83705246,0.45273823,0.81554043,0.45623976,0.83938265,0.5536602,0.81968445,0.55592835,0.8374885,0.6444841,0.82245904,0.64678246
0.82125217,0.25911358,0.8249715,0.24887805,0.8173995,0.25006112,0.83073217,0.25487107,0.81210035,0.25855604,0.8403066,0.3130087,0.8058677,0.3199708,0.8523245,0.37814048,0.79631424,0.38729194,0.85277957,0.4414931,0.79071254,0.44789913,0.8370967,0.4521409,0.81562585,0.45538288,0.8392038,0.5530318,0.8196392,0.5550618,0.83713406,0.6443628,0.8223309,0.6463664
0.8215597,0.2586006,0.8252655,0.2484557,0.81772155,0.24954358,0.830937,0.25452483,0.81236976,0.25794464,0.8402898,0.31253853,0.80618733,0.31905466,0.85210323,0.3778623,0.79651207,0.38609806,0.85258245,0.4401342,0.79025537,0.44588503,0.83719367,0.45093226,0.815947,0.4540086,0.83910257,0.5525649,0.81989807,0.55444425,0.8375436,0.6448954,0.8228227,0.64672405
0.8221942,0.25879556,0.8259739,0.24872108,0.8183837,0.2496689,0.8316375,0.2553523,0.8129582,0.25840247,0.840733,0.31424654,0.80644554,0.32019943,0.8525657,0.37968528,0.79617095,0.3865839,0.85279846,0.44170478,0.7893483,0.44620332,0.8371887,0.45333052,0.8158435,0.45616242,0.838974,0.5546191,0.81984454,0.5563124,0.83764505,0.6459057,0.8231845,0.64763534
0.82230425,0.2583495,0.8262173,0.24856086,0.81876194,0.2491239,0.8321892,0.25570002,0.81376725,0.25781593,0.8412653,0.3154058,0.8071394,0.31976357,0.8528554,0.38181072,0.796631,0.38516715,0.8528491,0.44372877,0.7892284,0.44352967,0.8368684,0.4545619,0.8156192,0.4565613,0.8389574,0.55655736,0.8195731,0.55748814,0.83852637,0.6475599,0.823208,0.64819187
0.8225953,0.25764382,0.82659024,0.24796198,0.8191301,0.24838564,0.8327466,0.2555422,0.8143488,0.25736797,0.8419145,0.3158488,0.80769724,0.31980383,0.8535102,0.38237122,0.7969889,0.38525558,0.8533597,0.443875,0.78916514,0.4443562,0.8370574,0.45501313,0.8157107,0.4567003,0.8396153,0.55773795,0.8196484,0.55832046,0.8393364,0.64863795,0.8230581,0.6488105
0.82311624,0.25766617,0.8271248,0.24807702,0.8197071,0.24844193,0.8333252,0.25601953,0.8150234,0.25766146,0.84244984,0.31667495,0.8083868,0.32033414,0.85393286,0.38288876,0.797677,0.38559452,0.85384494,0.44319487,0.7900409,0.44415247,0.8374233,0.45555326,0.8161837,0.45701283,0.8395524,0.5580622,0.8197635,0.5584004,0.8392663,0.64844555,0.8231737,0.64829946
0.8238241,0.25747308,0.8278594,0.24790244,0.8204504,0.24824391,0.83411086,0.25620595,0.8158075,0.25770643,0.8430805,0.31724256,0.8090839,0.3206753,0.85442895,0.382957,0.79823995,0.38536286,0.85459596,0.44283593,0.7914357,0.44275904,0.8379055,0.45604613,0.8167224,0.45739532,0.8394753,0.55803555,0.8199857,0.55831295,0.83874667,0.6484389,0.82320255,0.6482047
0.824502,0.25593928,0.82852423,0.24645089,0.82116807,0.24671543,0.8347856,0.25499898,0.81654024,0.25617695,0.84355134,0.31644377,0.8095978,0.31907776,0.854587,0.3832718,0.7987544,0.38358453,0.8552042,0.44506794,0.7929227,0.44040197,0.83821434,0.45509294,0.81699973,0.45615357,0.839639,0.5571649,0.8199321,0.55724126,0.83880585,0.6478707,0.82273626,0.6474497
0.82523173,0.2558398,0.8293382,0.2464346,0.8219827,0.24638839,0.83581173,0.25521728,0.81748813,0.2556476,0.84486073,0.31719196,0.8106893,0.31842443,0.85653543,0.38527477,0.8000929,0.38252184,0.85630494,0.44642234,0.79299384,0.437285,0.8384978,0.45580834,0.81715375,0.45598525,0.8395111,0.55839044,0.81973106,0.55773354,0.839005,0.6488443,0.8226512,0.64749616
0.8267769,0.25425354,0.83069736,0.2436863,0.82295936,0.24464437,0.8376566,0.2508954,0.8179793,0.25325736,0.8467993,0.315589,0.8123782,0.31639606,0.8571871,0.38982877,0.80179673,0.3848472,0.8587534,0.45106426,0.7939874,0.43390003,0.8407335,0.46071655,0.81966686,0.460383,0.83915275,0.56320447,0.82010424,0.56182307,0.8384246,0.6595594,0.82601756,0.6572954
0.8264524,0.25621313,0.8307008,0.24681115,0.82324904,0.24640657,0.8374428,0.25554684,0.8187027,0.25498968,0.8463873,0.31724647,0.8115902,0.31712076,0.8582937,0.3866585,0.80135214,0.382189,0.8574813,0.446222,0.79547316,0.43569878,0.8392537,0.4559772,0.81739324,0.45544416,0.8401893,0.5587148,0.8193447,0.55738884,0.8404581,0.64891064,0.8229086,0.64670324
0.82671994,0.25591832,0.8309395,0.24651478,0.8235241,0.24606445,0.837601,0.2548524,0.81892747,0.25411746,0.8463702,0.31595293,0.81153184,0.3157588,0.858138,0.3854289,0.80144244,0.3816702,0.8576585,0.44683057,0.79662436,0.43814766,0.8391113,0.4545345,0.8172168,0.4539938,0.83994645,0.5575674,0.81892157,0.5562122,0.8399412,0.64860094,0.822326,0.6464547
0.82714456,0.25562033,0.8313851,0.2462564,0.8239767,0.24564795,0.83793795,0.25508133,0.8192884,0.25392222,0.846467,0.31667534,0.8115023,0.31683034,0.8581877,0.38614252,0.8021895,0.38568485,0.8575002,0.44894233,0.7980546,0.4481247,0.8389679,0.4554167,0.8168664,0.45499805,0.8396846,0.5589318,0.8178852,0.5576856,0.83996624,0.6488975,0.82123107,0.64698553
0.8279293,0.2551261,0.8320493,0.24583218,0.82468647,0.2451788,0.8381586,0.2545632,0.81961864,0.25318465,0.84616405,0.31556588,0.8114731,0.31589466,0.8576132,0.38466296,0.8025514,0.38592434,0.8572566,0.44821295,0.7986569,0.45148656,0.8389692,0.45412734,0.81692517,0.45395827,0.8399548,0.55842656,0.8176283,0.5574162,0.8407766,0.6474134,0.8206868,0.6459542
0.82804966,0.25466838,0.83208334,0.2453052,0.82470626,0.24473166,0.83794755,0.25387022,0.8193658,0.25262064,0.8458136,0.31476772,0.8110654,0.31553167,0.85751784,0.38404474,0.8024437,0.38668272,0.8578891,0.44985014,0.7987796,0.45476097,0.83903277,0.4539819,0.816881,0.45415473,0.84022486,0.5584448,0.81739646,0.5577903,0.841177,0.64785355,0.82009774,0.64694965
0.8282718,0.25359455,0.83221895,0.24412042,0.82483906,0.24368605,0.8378574,0.2525598,0.81920254,0.2515983,0.84543556,0.3132828,0.810767,0.31483823,0.8568228,0.38237053,0.8022286,0.3871649,0.8577744,0.44991165,0.7991953,0.45735797,0.8392558,0.45295185,0.8170764,0.4536973,0.84086627,0.55725086,0.8176284,0.55719924,0.8418819,0.6468284,0.82000554,0.6466396
0.8283191,0.25328013,0.83216953,0.24366882,0.8248547,0.24338676,0.8377951,0.25175625,0.8192296,0.25108814,0.8456375,0.31237277,0.81070775,0.31436336,0.85707027,0.38222557,0.8026349,0.38833055,0.8578662,0.45092306,0.80158854,0.45931187,0.83964103,0.45176497,0.8172714,0.4527278,0.8407551,0.55610585,0.81744176,0.55630434,0.84081316,0.6484321,0.81942874,0.6485974
