x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0.8434283,0.30969018,0.84706354,0.30144706,0.8415891,0.3020131,0.8545707,0.30800146,0.8405871,0.31057683,0.86526173,0.36318526,0.83619803,0.36764845,0.874163,0.42481044,0.8305537,0.42900014,0.8751859,0.49301285,0.82653755,0.49118987,0.8583785,0.4923706,0.8403565,0.4929752,0.8578209,0.5828761,0.8407497,0.5827552,0.8558183,0.65854216,0.84202665,0.65659094
0.8429441,0.30803758,0.8465919,0.29987466,0.8410099,0.30013213,0.8538155,0.30592415,0.839619,0.30761516,0.86419916,0.36099797,0.83436376,0.36471066,0.8735485,0.42268562,0.8287348,0.42754027,0.87500983,0.4895812,0.82420224,0.49396306,0.85698575,0.4939692,0.838649,0.49432927,0.85565084,0.5869141,0.83917135,0.5863519,0.85414165,0.6647388,0.84169453,0.6625503
0.8439464,0.30639592,0.8476071,0.2982531,0.8414713,0.29838225,0.85400146,0.30437827,0.83879805,0.30550525,0.86304694,0.35920724,0.83286613,0.36285713,0.87278587,0.4196273,0.8273043,0.42614204,0.8754131,0.48331714,0.82227814,0.49237338,0.8560176,0.49240488,0.8374573,0.49313638,0.85401887,0.58774203,0.83764356,0.58748645,0.85298866,0.66630316,0.8401864,0.66507506
0.84337753,0.30818433,0.84675914,0.29999298,0.84066325,0.3002192,0.85246915,0.3047441,0.8373604,0.30585614,0.86142933,0.35667223,0.8309084,0.36073694,0.8713152,0.41474792,0.8249046,0.4236499,0.8745381,0.4751301,0.8206156,0.49023604,0.85580033,0.48719245,0.8369171,0.4884992,0.8555557,0.5817832,0.83744633,0.5819217,0.8545896,0.6611165,0.8392052,0.6604791
0.84316343,0.3072241,0.84643716,0.29878896,0.84022105,0.29925734,0.8518718,0.30366796,0.8360289,0.30497774,0.8602864,0.35623744,0.82937354,0.36004633,0.87032884,0.41494077,0.82246745,0.42326936,0.87274104,0.4753132,0.8184741,0.48576063,0.85550004,0.4886953,0.83634263,0.48999506,0.85592854,0.58284837,0.83722144,0.5831004,0.85604686,0.6623083,0.84019816,0.66224444
0.84226096,0.30392903,0.8455722,0.29552498,0.83936006,0.2959297,0.8509113,0.30130044,0.83515894,0.30237156,0.8591693,0.35545343,0.8282469,0.3585352,0.86837953,0.4166225,0.8213992,0.4220446,0.87026066,0.47989514,0.818305,0.48412293,0.8542792,0.48859525,0.835038,0.48970154,0.8546258,0.58280534,0.83585846,0.5829379,0.854632,0.66290206,0.8387739,0.66263163
0.84059155,0.30243266,0.844175,0.29388767,0.8377757,0.2942751,0.8501733,0.30000386,0.83404607,0.30122104,0.8584604,0.3554656,0.82777756,0.35819748,0.86701745,0.41850293,0.8209858,0.4213659,0.8686293,0.4838765,0.8175899,0.4823964,0.8532476,0.4903693,0.8341929,0.4911653,0.85308045,0.5847535,0.8350906,0.5845694,0.85323924,0.6650554,0.8383398,0.66411847
0.8395896,0.3007228,0.84333295,0.2921757,0.8367912,0.29244003,0.8495104,0.29891652,0.8331668,0.29985163,0.8576235,0.3551554,0.8271204,0.357029,0.8660698,0.41860262,0.8200411,0.4184028,0.8668626,0.4828163,0.8174779,0.476236,0.8523076,0.49011227,0.8333581,0.49055257,0.8520873,0.58367366,0.83491546,0.5831163,0.8518732,0.662266,0.8383312,0.6606988
0.8392045,0.29956844,0.8430185,0.29108852,0.8364175,0.2912781,0.84916466,0.29832727,0.83273906,0.2990261,0.85703784,0.35480055,0.82665807,0.3558445,0.86534137,0.4181857,0.8191477,0.4145957,0.865653,0.48123544,0.8173644,0.4675445,0.85171336,0.4874594,0.83274,0.4876588,0.8519171,0.5798113,0.83443516,0.5790852,0.85187715,0.6574292,0.8379151,0.6555822
0.8380502,0.29868874,0.84196806,0.29013664,0.8353373,0.29019997,0.8483389,0.29773575,0.8317825,0.29805428,0.8565267,0.35537016,0.8254294,0.35551235,0.86484927,0.42055532,0.8174125,0.41401395,0.8648154,0.4843344,0.8168271,0.46480796,0.8512735,0.48924017,0.83174294,0.4891534,0.85214275,0.58303744,0.8336468,0.58206123,0.8520145,0.66453034,0.8370466,0.6621281
0.8375719,0.2986938,0.84159327,0.29011002,0.8348662,0.2901277,0.84817886,0.29796806,0.8314253,0.2982321,0.8561762,0.3559968,0.8253741,0.3557479,0.86428463,0.4214064,0.81718695,0.41360095,0.8644325,0.48452052,0.8165302,0.46268538,0.85026693,0.48933962,0.8310105,0.4889032,0.85035795,0.5833144,0.8330429,0.5820838,0.84916395,0.66547704,0.83588904,0.6627771
